,favorite_count,retweet_count,tweet_id
219,11977,2035,849336543269576704
220,44524,9158,849051919805034497
221,26444,4642,848690551926992896
222,25974,4950,848324959059550208
223,8578,807,848213670039564288
224,17149,3321,848212111729840128
225,0,3508,847978865427394560
226,0,463,847971574464610304
227,24677,5512,847962785489326080
228,5765,1449,847842811428974592
229,7365,453,847617282490613760
230,19706,3648,847606175596138505
231,21479,4624,847251039262605312
232,21020,6317,847157206088847362
233,22536,3439,847116187444137987
234,21140,4233,846874817362120707
235,47070,12545,846514051647705089
236,14913,3347,846505985330044928
237,33428,9798,846153765933735936
238,32513,10643,846139713627017216
239,16845,3118,846042936437604353
240,30890,9457,845812042753855489
241,26483,5175,845677943972139009
242,8039,1969,845397057150107648
243,24611,5839,845306882940190720
244,0,8300,845098359547420673
245,14397,2807,844979544864018432
246,15976,3483,844973813909606400
247,40900,11210,844704788403113984
248,17396,3407,844580511645339650
249,14391,2378,844223788422217728
250,15956,3167,843981021012017153
251,22617,5009,843856843873095681
252,17856,2978,843604394117681152
253,22724,6576,843235543001513987
254,16095,3893,842846295480000512
255,7143,1386,842765311967449089
256,19145,3804,842535590457499648
257,25921,6303,842163532590374912
258,14843,3283,842115215311396866
259,0,16735,841833993020538882
260,27152,8427,841680585030541313
261,13394,3994,841439858740625411
262,20922,5906,841320156043304961
263,16829,5120,841314665196081154
264,24300,5770,841077006473256960
265,0,1914,840761248237133825
266,0,17659,840728873075638272
267,192,3,840698636975636481
268,13051,1077,840696689258311684
269,9524,1914,840632337062862849
270,17464,4966,840370681858686976
271,20451,6247,840268004936019968
272,14251,2508,839990271299457024
273,29221,8480,839549326359670784
274,0,155,839290600511926273
275,28894,7160,839239871831150596
276,20841,4348,838952994649550848
277,11875,2265,838921590096166913
278,0,37,838916489579200512
279,0,12109,838831947270979586
280,11596,1447,838561493054533637
281,24051,5267,838476387338051585
282,0,11061,838201503651401729
283,1788,358,838150277551247360
284,149,0,838085839343206401
285,18760,3445,838083903487373313
286,36390,8616,837820167694528512
287,4080,484,837482249356513284
288,13619,2528,837471256429613056
289,22497,5795,837366284874571778
290,17040,2622,837110210464448512
291,13556,2511,836989968035819520
292,20481,5054,836753516572119041
293,13426,2435,836677758902222849
294,0,607,836648853927522308
295,0,30231,836397794269200385
296,15693,3227,836380477523124226
297,22651,4695,836260088725786625
298,20364,4706,836001077879255040
299,0,8967,835685285446955009
300,18970,3975,835574547218894849
301,0,1867,835536468978302976
302,0,23076,835309094223372289
303,17477,3280,835297930240217089
304,8279,1867,835264098648616962
305,2225,80,835246439529840640
306,27847,6300,835172783151792128
307,23947,3321,835152434251116546
308,11561,1810,834931633769889797
309,22519,5992,834786237630337024
310,14620,2791,834574053763584002
311,0,11717,834477809192075265
312,10263,1836,834458053273591808
313,21994,5269,834209720923721728
314,16811,3987,834167344700198914
315,10724,2342,834089966724603904
316,13932,2429,834086379323871233
317,14319,2647,833863086058651648
318,16367,3777,833826103416520705
319,0,239,833732339549220864
320,22062,3521,833722901757046785
321,15885,2268,833479644947025920
322,21579,5326,833124694597443584
323,14225,2437,832998151111966721
324,0,41,832769181346996225
325,17977,3980,832757312314028032
326,12700,3230,832682457690300417
327,3120,573,832645525019123713
328,16958,3078,832636094638288896
329,12776,2457,832397543355072512
330,18329,3508,832369877331693569
331,12090,2570,832273440279240704
332,0,6816,832215909146226688
333,0,10326,832215726631055365
334,71,2,832088576586297345
335,0,10710,832040443403784192
336,19109,5135,832032802820481025
337,25672,6773,831939777352105988
338,364,36,831926988323639298
339,29581,7190,831911600680497154
340,11176,1999,831670449226514432
341,7684,2156,831650051525054464
342,9642,2534,831552930092285952
343,9811,1678,831322785565769729
344,6971,1229,831315979191906304
345,12536,2685,831309418084069378
346,12756,2264,831262627380748289
347,8539,1658,830956169170665475
348,71642,18593,830583320585068544
349,0,6301,830173239259324417
350,10524,3329,830097400375152640
351,0,5545,829878982036299777
352,13119,2167,829861396166877184
353,33986,11717,829501995190984704
354,11212,2247,829449946868879360
355,37123,10300,829374341691346946
356,26286,8199,829141528400556032
357,56810,17928,829011960981237760
358,0,3753,828801551087042563
359,27412,6500,828770345708580865
360,39253,12395,828708714936930305
361,10200,1487,828650029636317184
362,6734,1271,828409743546925057
363,8190,1412,828408677031882754
364,13537,2459,828381636999917570
365,7920,1177,828376505180889089
366,13437,3239,828372645993398273
367,2352,189,828361771580813312
368,12624,3165,828046555563323392
369,11119,2370,828011680017821696
370,21620,5777,827933404142436356
371,16581,3322,827653905312006145
372,7960,1046,827600520311402496
373,17052,3390,827324948884643840
374,11358,2481,827199976799354881
375,23205,5545,826958653328592898
376,39225,11355,826848821049180160
377,0,4361,826615380357632002
